"num","conm","tic","gvkey_chr","cusip","first_date","last_date","fds","Num_Articles","Num_Duplicates","Downloaded","Num_Files"
"75","DONNELLEY (R R) & SONS CO","RRD",4040,"257867200",2004-01-31,2012-11-30,"DONNRR",135,27,1,2
"76","DOW JONES & CO INC","DJ",4062,"260561105",2004-01-31,2007-11-30,"DOWJON",308,0,1,4
"77","OMNICOM GROUP","OMC",4066,"681919106",2004-01-31,2018-06-30,"OMNICC",239,116,1,3
"78","DU PONT (E I) DE NEMOURS","DD",4087,"263534109",2004-01-31,2017-08-31,"DUPNT",1207,638,1,13
"79","DUKE ENERGY CORP","DUK",4093,"26441C204",2004-01-31,2018-06-30,"DUKPOW",727,308,1,8
"80","DUN & BRADSTREET CORP","DNB",4094,"26483E100",2008-12-31,2017-03-31,"DANDB",45,30,1,1
"81","EASTMAN KODAK CO","EKDKQ",4194,"277461109",2004-01-31,2010-11-30,"KDAK",480,59,1,5
"82","EATON CORP PLC","ETN",4199,"G29183103",2004-01-31,2018-06-30,"ETNCO",270,73,1,3
"83","EL PASO CORP","EP",4242,"28336L109",2004-01-31,2012-04-30,"ELPASN",338,55,1,4
"84","EMERSON ELECTRIC CO","EMR",4321,"291011104",2004-01-31,2018-06-30,"EMELC",375,169,1,4
"85","WEATHERFORD INTL PLC","WFT",4367,"G48833100",2005-07-31,2009-01-31,"ENGY",55,4,1,1
"86","EXPEDITORS INTL WASH INC","EXPD",4494,"302130109",2007-10-31,2018-06-30,"EXPED",52,29,1,1
"87","EXXON MOBIL CORP","XOM",4503,"30231G102",2004-01-31,2018-06-30,"EXXN",1291,522,1,13
"88","NEXTERA ENERGY INC","NEE",4517,"65339F101",2004-01-31,2018-06-30,"FPL",204,139,1,3
"89","FAMILY DOLLAR STORES","FDO",4560,"307000109",2004-01-31,2015-06-30,"FDOST",311,123,1,4
"90","FANNIE MAE","FNMA",4601,"313586109",2004-01-31,2008-08-31,"FEDNAT",1273,56,1,13
"91","FEDERAL REALTY INVESTMENT TR","FRT",4605,"313747206",2016-02-29,2018-06-30,"FRT",22,5,1,1
"92","FIFTH THIRD BANCORP","FITB",4640,"316773100",2004-01-31,2018-06-30,"FITB",404,137,1,5
"93","REGIONS FINANCIAL CORP","RF",4674,"7591EP100",2004-01-31,2018-06-30,"FABNC",336,117,1,4
"94","M & T BANK CORP","MTB",4699,"55261F104",2004-02-29,2018-06-30,"FEMP",315,125,1,4
"95","U S BANCORP","USB",4723,"902973304",2004-01-31,2018-06-30,"STABAN",614,310,1,7
"96","FIRST HORIZON NATIONAL CORP","FHN",4737,"320517105",2004-01-31,2013-05-31,"FTEN",121,22,1,2
"97","FLEETBOSTON FINANCIAL CORP","FBF",4764,"339030108",2004-01-31,2004-03-31,"FLEFIN",9,0,1,1
"98","FORD MOTOR CO","F",4839,"345370860",2004-01-31,2018-06-30,"FRDMO",2728,1043,1,28
"99","FOREST LABORATORIES  -CL A","FRX",4843,"345838106",2004-01-31,2014-06-30,"FRSTLB",255,67,1,3
"100","FRANKLIN RESOURCES INC","BEN",4885,"354613101",2004-01-31,2018-06-30,"FRRI",346,128,1,4
"101","ARTHUR J GALLAGHER & CO","AJG",4973,"363576109",2016-05-31,2018-06-30,"GALGHA",18,2,1,1
"102","GENERAL DYNAMICS CORP","GD",5046,"369550108",2004-01-31,2018-06-30,"GENDYM",434,112,1,5
"103","GENERAL ELECTRIC CO","GE",5047,"369604103",2004-01-31,2018-06-30,"GNELC",2494,1465,1,25
"104","GENERAL MILLS INC","GIS",5071,"370334104",2004-01-31,2018-06-30,"GNMLL",784,388,1,8
"105","GENERAL MOTORS CO","GM",5073,"37045V100",2013-06-30,2018-06-30,"GNMOC",930,895,1,10
"106","GENERAL MOTORS CO","MTLQQ",5073,"62010A105",2004-01-31,2009-05-31,"GNMOC",2369,99,1,24
"107","ELECTRONIC DATA SYSTEMS CORP","EDS.",5074,"285661104",2004-01-31,2008-07-31,"ELDATS",0,0,1,0
"108","GENUINE PARTS CO","GPC",5125,"372460105",2004-01-31,2018-06-30,"GENPT",195,45,1,2
"109","GOLDEN WEST FINANCIAL CORP","GDW",5216,"381317106",2004-01-31,2006-09-30,"GDW",37,0,1,1
"110","GOODYEAR TIRE & RUBBER CO","GT",5234,"382550101",2004-01-31,2018-06-30,"GDYRR",481,123,1,5
"111","GRAINGER (W W) INC","GWW",5256,"384802104",2004-01-31,2018-06-30,"GRNGRW",252,126,1,3
"112","GREAT LAKES CHEMICAL CORP","GLK.1",5306,"390568103",2004-01-31,2005-06-30,"GRELAC",24,0,1,1
"113","KRAFT HEINZ CO","KHC",5568,"500754106",2015-07-31,2018-06-30,"HINZC",165,138,1,2
"114","HELMERICH & PAYNE","HP",5581,"423452101",2010-03-31,2018-06-30,"HLMPYN",86,19,1,1
"115","HILTON WORLDWIDE HOLDINGS","HLT.1",5643,"432848109",2004-01-31,2007-09-30,"HILTON",161,0,1,2
"116","HOME DEPOT INC","HD",5680,"437076102",2004-01-31,2018-06-30,"HOMD",1455,570,1,15
"117","HORMEL FOODS CORP","HRL",5709,"440452100",2009-03-31,2018-06-30,"HORMG",176,98,1,2
"118","STARWOOD HOTELS&RESORTS WRLD","HOT",5723,"85590A401",2004-01-31,2016-08-31,"HOTINV",248,115,1,3
"119","CENTERPOINT ENERGY INC","CNP",5742,"15189T107",2004-01-31,2018-06-30,"HOUIND",282,78,1,3
"120","HUNT (JB) TRANSPRT SVCS INC","JBHT",5783,"445658107",2015-07-31,2018-06-30,"JBHT",21,5,1,1
"121","HUNTINGTON BANCSHARES","HBAN",5786,"446150104",2004-01-31,2018-06-30,"HUNBAN",269,79,1,3
"122","ILLINOIS TOOL WORKS","ITW",5878,"452308109",2004-01-31,2018-06-30,"ITW",400,141,1,4
"123","INGERSOLL-RAND PLC","IR",5959,"G47791101",2004-01-31,2018-06-30,"INGRAC",313,56,1,4
"124","INTL BUSINESS MACHINES CORP","IBM",6066,"459200101",2004-01-31,2018-06-30,"IBM",900,464,1,9
"125","INTL FLAVORS & FRAGRANCES","IFF",6078,"459506101",2004-01-31,2018-06-30,"IFLAV",109,10,1,2
"126","NAVISTAR INTERNATIONAL CORP","NAV",6081,"63934E108",2004-01-31,2006-11-30,"IHCGB",114,0,1,2
"127","INTL GAME TECHNOLOGY","IGT.1",6097,"459902102",2004-01-31,2014-05-31,"IGAM",133,28,1,2
"128","INTL PAPER CO","IP",6104,"460146103",2004-01-31,2018-06-30,"INTPAP",467,171,1,5
"129","INTERPUBLIC GROUP OF COS","IPG",6136,"460690100",2004-01-31,2018-06-30,"INTPUB",252,60,1,3
"130","JACOBS ENGINEERING GROUP INC","JEC",6216,"469814107",2007-10-31,2018-06-30,"JACINT",36,7,1,1
"131","JOHNSON & JOHNSON","JNJ",6266,"478160104",2004-01-31,2018-06-30,"JONJON",1127,585,1,12
"132","JOHNSON CONTROLS INTL PLC","JCI",6268,"G51502105",2004-01-31,2018-06-30,"HWLY",335,118,1,4
"133","SEARS HOLDINGS CORP","SHLD",6307,"812350106",2005-03-31,2012-08-31,"KMRT",357,76,1,4
"134","KINDER MORGAN INC","KMI.1",6310,"49455P101",2004-01-31,2007-04-30,"KNNG",123,0,1,2
"135","KINDER MORGAN INC","KMI",6310,"49456B101",2012-05-31,2018-06-30,"KNNG",262,176,1,3
"136","KANSAS CITY SOUTHERN","KSU",6335,"485170302",2013-05-31,2018-06-30,"KSU",138,56,1,2
"137","LAM RESEARCH CORP","LRCX",6565,"512807108",2012-06-30,2018-06-30,"LAMRES",75,28,1,1
"138","LEGGETT & PLATT INC","LEG",6649,"524660107",2004-01-31,2018-06-30,"LEGPLT",210,36,1,3
"139","LEGG MASON INC","LM",6653,"524901105",2006-04-30,2016-11-30,"LEMAW",525,132,1,6
"140","JEFFERIES FINANCIAL GRP INC","JEF",6682,"47233W109",2007-08-31,2018-06-30,"LEUC",89,37,1,1
"141","LILLY (ELI) & CO","LLY",6730,"532457108",2004-01-31,2018-06-30,"LILYE",641,301,1,7
"142","L BRANDS INC","LB",6733,"501797104",2004-01-31,2018-06-30,"LTDI",221,138,1,3
"143","LINCOLN NATIONAL CORP","LNC",6742,"534187109",2004-01-31,2018-06-30,"LINN",251,67,1,3
